normalized_key,raw_forms,count,example_file,line,snippet
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Arminianism.txt,140,"authority of Augustine. Louis Molina, in 1588, made an attempt in his"
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Arminianism.txt,161,wed to enter on his office as professor in 1603. Gomar and he again
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Arminianism.txt,170,rom a remonstrance which they submitted in 1610 to the States
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Arminianism.txt,448,Armada in 1588. In France the civil wars on accoun
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Call to the Unconverted.txt,189,"thus: ""In 1657, Mr. Baxter published a Call to the"
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Call to the Unconverted.txt,1685,"Ezekiel, as plain as can be spoken. And in 2 Cor. v. 17, 18,"
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Calvin - Commentaries.txt,218,"ary on Romans, the first, was published in 1540. The latest,"
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Calvin - Commentaries.txt,287,"finally published in 1521, was used by Beza (according to Del"
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Calvin - Commentaries.txt,481,"rpreting Scripture, which was published in 1593, bore"
in,IN; In; in; in.,1490,C:\Projects\Abib\Other Works\Calvin - Commentaries.txt,2600,ended studying theology in Heidelberg. In 1515
the,The; the; the.,836,C:\Projects\Abib\Other Works\Arminianism.txt,176,"party, he convened a general synod on the 13th November 1618. The"
the,The; the; the.,836,C:\Projects\Abib\Other Works\Arminianism.txt,2250,"of Scripture seemingly repugnant. In the 22d chapter of Genesis, verse"
the,The; the; the.,836,C:\Projects\Abib\Other Works\Call to the Unconverted.txt,3558,"d open by Christ himself, Prov. i. from the 20th to the end, ""Wisdom"
the,The; the; the.,836,C:\Projects\Abib\Other Works\Calvin - Commentaries.txt,2785,[62] This paragraph is not in the 1535 preface. It appears for the
the,The; the; the.,836,C:\Projects\Abib\Other Works\Commentary on Galatians Luther.txt,5486,uttered.” He writes in the 26th verse: “Likewise the Spirit also he
the,The; the; the.,836,C:\Projects\Abib\Other Works\Death of Death in the Death of Christ.txt,1856,"appear. In the 53d chapter of the same prophecy, the Lo"
the,The; the; the.,836,C:\Projects\Abib\Other Works\Eastons Bible Dictionary.txt,1925,"that he would not succeed, and that the 400 false prophets who"
the,The; the; the.,836,C:\Projects\Abib\Other Works\Eastons Bible Dictionary.txt,2892,(3.) Chief of the 112 descendants of Uzziel the Levite (1
the,The; the; the.,836,C:\Projects\Abib\Other Works\Eastons Bible Dictionary.txt,12382,"ing determined by lot. (2.) The rest of the 38,000 Levites"
the,The; the; the.,836,C:\Projects\Abib\Other Works\Eastons Bible Dictionary.txt,14359,"beginning on the 25th of the month Chisleu (December), wh"
and,AND; And; and,700,C:\Projects\Abib\Other Works\Call to the Unconverted.txt,974,"the glory, which it violateth: And 4. the excellency of the glory which"
